高级咨询顾问-数字洞察/数据分析方向,仟传网络科技(上海)有限公司,A轮,20-35k·12薪,330000.0,上海-徐汇区,统招本科,5-10年
咨询顾问-数字洞察/数据分析方向,仟传网络科技(上海)有限公司,A轮,15-25k·12薪,240000.0,上海-徐汇区,统招本科,3-5年
数据分析[J470308],杭州溪鸟物流科技有限公司,未融资,15-30k·12薪,270000.0,杭州,本科及以上,5-10年
数据分析师,苏州海管家物流科技有限公司,A轮,10-15k·12薪,150000.0,苏州-工业园区,统招本科,1-3年
风控数据分析师,丰复信息咨询(北京)有限公司,未融资,15-30k·12薪,270000.0,北京-朝阳区,统招本科,3-5年
数据分析专员,珠海市真心速网络科技有限公司,互联网/电商,3-5k·12薪,48000.0,揭阳,大专及以上,1-3年
风控数据分析师,上海识装信息科技有限公司,A轮,20-40k·16薪,480000.0,上海,本科及以上,3-5年
数据分析师,中怡保险,未融资,面议,-1,上海-浦东新区,本科及以上,1-3年
数据分析师,恒通源企业管理集团,未融资,8-15k·12薪,138000.0,西安-雁塔区,本科及以上,1-3年
数据分析师,北京高途云集教育科技有限公司,未融资,10-12k·13薪,143000.0,成都-锦江区,统招本科,3-5年
数据分析,包头市包银消费金融股份有限公司,未融资,10-20k·13薪,195000.0,北京-小关,统招本科,1-3年
数据分析,上海飞象健康科技有限公司,家具/家电,6-8k·12薪,84000.0,佛山,本科及以上,3-5年
数据分析专家(J200915041),滴滴,D轮及以上,21-42k·12薪,378000.0,北京-海淀区,本科及以上,5-10年
高级软件开发工程师（数据分析）,网龙网络公司,IPO上市,21-30k·16薪,408000.0,成都,本科及以上,5-10年
数据分析师（安全方向）(J200929002),滴滴,D轮及以上,面议,-1,北京-海淀区,本科及以上,经验不限
数据分析师,万兴科技,IPO上市,12-24k·14薪,252000.0,深圳,统招本科,3-5年
BK3315-产品中心策略分析组数据分析岗,平安银行,IPO上市,面议,-1,深圳,学历不限,5-10年
数据分析经理,英谛捷,未融资,35-40k·12薪,450000.0,上海,本科及以上,5-10年
数据分析师,北京大千阳光数字科技股份有限公司,战略融资,6-12k·12薪,108000.0,北京,大专及以上,5-10年
数据分析师,天狮集团,未融资,8-14k·12薪,132000.0,天津,本科及以上,1-3年
WXG11-WXG11-微信读书高级数据分析师（广州）,腾讯,IPO上市,面议,-1,广州,本科及以上,1-3年
TME-MOO大数据分析工程师,腾讯,IPO上市,面议,-1,深圳,学历不限,3-5年
数据分析师-SH,彪洋科技,A轮,7-12k·12薪,114000.0,上海-中山公园,本科及以上,1-3年
高级数据分析师,成都明源拓展软件科技有限公司,未融资,8-12k·14薪,140000.0,成都-高新区,大专及以上,3-5年
数据分析,成都明源拓展软件科技有限公司,未融资,8-12k·14薪,140000.0,成都-高新区,大专及以上,3-5年
数据分析师,益丰大药房,IPO上市,12-18k·12薪,180000.0,长沙-岳麓区,本科及以上,3-5年
商业分析师/数据分析(J10545),网鱼网咖,D轮及以上,20-35k·12薪,330000.0,上海-漕河泾,本科及以上,5-10年
薪酬绩效（COE数据分析）,尚德机构,IPO上市,15-25k·12薪,240000.0,北京-朝阳区,硕士及以上,1-3年
数据分析师,滴滴,D轮及以上,20-50k·15薪,525000.0,北京-海淀区,统招本科,3-5年
BI数据分析师,凯捷咨询,未融资,8-15k·13薪,149500.0,上海-陆家嘴,本科及以上,1-3年
业务数据分析师,北京九五太维资讯有限公司,未融资,9-12k·14薪,147000.0,北京-海淀区,统招本科,1-3年
数据分析（COE薪酬绩效）,尚德机构,IPO上市,15-25k·12薪,240000.0,北京-朝阳区,硕士及以上,1-3年
数据分析主管/经理,珠海横琴好唱文化投资管理有限公司,未融资,8-18k·13薪,169000.0,深圳,大专及以上,3-5年
阿里集团-数据分析师,阿里巴巴,IPO上市,面议,-1,杭州,学历不限,3-5年
数据分析专员,浙江胡巴控股有限公司,行业解决方案,5-15k·12薪,120000.0,杭州,本科及以上,经验不限
资深数据分析师,满帮集团,未融资,30-50k·13薪,520000.0,南京-雨花台区,硕士及以上,5-10年
数据分析专家(J200927042),滴滴,D轮及以上,17-33k·12薪,300000.0,杭州,本科及以上,3-5年
数据分析师,广东力通网络科技有限公司,未融资,10-15k·12薪,150000.0,广东,本科及以上,3-5年
数据分析师,北京高途云集教育科技有限公司,未融资,8-15k·12薪,138000.0,成都-保和,统招本科,3-5年
大数据分析挖掘工程师,SwiftPass,未融资,20-35k·12薪,330000.0,深圳,本科及以上,5-10年
